D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.800000,6,0.673912,0.768271,106.368932,705.068638,0.382151,1.026020,0.011000,0.009611,0.222765,0.190612,29.533846,39.000000,124.311801,5,25
0.695916,3,1.028920,0.594479,137.520795,1179.334913,0.291861,1.037013,0.014750,0.012182,0.088756,0.110536,42.972696,39.000000,151.529213,5,26
0.739800,3,0.883362,0.837750,123.717860,803.626200,0.329571,1.021626,0.014750,0.011974,0.183353,0.179144,31.129117,39.000000,126.624904,5,27
0.731647,7,0.618844,0.663462,116.153578,900.488530,0.347252,1.032650,0.009750,0.009674,0.209162,0.156882,34.496747,39.000000,154.861094,5,28
0.701221,4,0.838946,1.081910,133.116042,740.092545,0.310757,1.006183,0.013500,0.011438,0.300674,0.209828,27.173125,39.000000,190.748734,5,29
0.708193,4,1.050000,0.500000,144.092119,1300.422847,0.276996,1.042989,0.013500,0.011182,0.065235,0.088071,48.220856,39.000000,178.160137,5,30
best fit at iteration 5,113.161334
0.763166,4,0.607232,0.500000,114.093467,1059.391308,0.350229,1.042989,0.013500,0.010525,0.125238,0.113503,42.332500,39.000000,135.638678,6,1
0.680124,6,0.458787,0.736224,121.260441,983.927745,0.333763,1.028047,0.011000,0.010335,0.323805,0.153608,35.038863,39.000000,255.616630,6,2
0.800000,4,0.913138,1.400000,129.579502,491.333154,0.326416,0.986064,0.013500,0.010417,0.396478,0.279302,20.580915,39.000000,183.942077,6,3
0.800000,7,0.703731,0.587879,110.502143,833.199891,0.363840,1.037430,0.009750,0.009253,0.146755,0.154400,34.900995,39.000000,110.502143,6,4
0.705995,2,0.552672,0.500000,126.394023,1305.478682,0.315805,1.042989,0.016000,0.012927,0.124541,0.087915,48.258107,39.000000,209.054305,6,5
0.718614,6,0.955146,0.587497,120.160931,1045.942883,0.334032,1.037454,0.011000,0.009997,0.106358,0.129150,39.355208,39.000000,121.255346,6,6
0.777708,5,0.851580,1.400000,133.160016,521.327165,0.317505,0.986064,0.012250,0.009995,0.424553,0.270751,21.228811,39.000000,208.802854,6,7
0.800000,4,0.306729,0.998707,112.139903,652.295990,0.367730,1.011445,0.013500,0.010454,0.605961,0.208464,27.323311,39.000000,325.967847,6,8
0.708930,2,1.050000,1.344543,127.719129,604.954539,0.329386,0.989571,0.016000,0.013106,0.367589,0.255862,22.455589,39.000000,183.490085,6,9
0.728265,5,1.050000,1.067021,125.236731,679.348155,0.330203,1.007125,0.012250,0.010625,0.242998,0.221439,25.904818,39.000000,137.429132,6,10
0.705984,4,0.591021,0.788045,120.366609,909.479770,0.337485,1.024770,0.013500,0.011205,0.255977,0.162468,33.619130,39.000000,189.643536,6,11
0.674246,2,0.973451,0.564874,152.508332,1333.268196,0.262587,1.038885,0.016000,0.013864,0.082960,0.093082,47.068951,39.000000,184.061724,6,12
0.749971,7,1.010999,0.635767,117.419454,902.026363,0.343038,1.034401,0.009750,0.009567,0.114689,0.151354,35.421109,39.000000,117.419454,6,13
0.800000,5,0.752481,0.605016,107.445816,844.193639,0.374588,1.036346,0.012250,0.009892,0.134306,0.151685,35.361500,39.000000,107.445816,6,14
0.800000,4,1.037250,1.400000,126.878194,483.348738,0.333363,0.986064,0.013500,0.010405,0.360221,0.283556,20.246465,39.000000,161.182143,6,15
0.707056,2,1.050000,1.400000,126.361531,589.083689,0.334091,0.986064,0.016000,0.012933,0.397781,0.263558,21.808689,39.000000,190.714089,6,16
0.743969,2,1.050000,0.740733,130.329036,886.571880,0.311015,1.027762,0.016000,0.013326,0.121187,0.156640,34.535637,39.000000,130.329036,6,17
0.651091,2,0.358933,0.716763,127.915652,1215.654587,0.315825,1.029278,0.016000,0.013593,0.323155,0.117870,41.442953,39.000000,358.708288,6,18
0.700683,5,0.980593,1.251379,137.596739,665.567695,0.303872,0.995464,0.012250,0.010723,0.333252,0.235122,24.418118,39.000000,195.024115,6,19
0.702969,3,1.050000,1.132226,132.240664,702.154916,0.313819,1.003000,0.014750,0.012274,0.267388,0.221971,25.844477,39.000000,159.298567,6,20
0.800000,5,0.428188,0.776793,106.434235,719.415756,0.382123,1.025481,0.012250,0.009975,0.337742,0.186140,30.134817,39.000000,193.120351,6,21
0.800000,6,0.687739,0.710705,106.251794,741.948696,0.381244,1.029662,0.011000,0.009585,0.194597,0.179466,31.078674,39.000000,115.209594,6,22
0.779472,2,0.891200,1.241198,129.468738,557.228663,0.323276,0.996108,0.016000,0.012893,0.336993,0.252549,22.742206,39.000000,172.758817,6,23
0.740706,3,0.957513,1.142765,129.740356,640.967462,0.320332,1.002334,0.014750,0.011979,0.284888,0.230882,24.858819,39.000000,160.088142,6,24
0.800000,6,0.673912,0.768271,106.368932,705.068638,0.382151,1.026020,0.011000,0.009611,0.222765,0.190612,29.533846,39.000000,124.311801,6,25
0.571541,3,0.494587,0.594479,141.541884,1660.136128,0.282820,1.037013,0.014750,0.013059,0.207286,0.082257,49.680967,39.000000,395.449473,6,26
